date,year,month,quarter,brand,therapy_area,region,territory,rep_id,units_sold,revenue_usd,market_share_pct
2022-03-01,2022,3,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,6173,335064.75,23.49
2022-04-01,2022,4,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,6528,352756.09,12.25
2022-05-01,2022,5,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,7076,382015.14,30.57
2022-06-01,2022,6,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,7051,381392.35,30.89
2022-07-01,2022,7,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,7357,389830.7,29.96
2022-08-01,2022,8,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,6413,346095.8,16.88
2022-09-01,2022,9,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,6359,343597.05,8.37
2022-10-01,2022,10,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,6746,357206.41,30.28
2022-11-01,2022,11,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,5990,333779.85,18.28
2022-12-01,2022,12,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,6783,367824.4,31.2
2023-01-01,2023,1,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,6916,362664.15,31.13
2023-02-01,2023,2,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,7177,390598.9,28.47
2023-03-01,2023,3,Q1,BrandA,Cardiovascular,North,N-102,REP_N-102,6578,346470.87,15.07
2023-04-01,2023,4,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,7305,398589.57,17.24
2023-05-01,2023,5,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,7302,401340.39,28.43
2023-06-01,2023,6,Q2,BrandA,Cardiovascular,North,N-102,REP_N-102,8074,426602.77,15.61
2023-07-01,2023,7,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,8404,460147.07,12.07
2023-08-01,2023,8,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,7854,425386.77,21.36
2023-09-01,2023,9,Q3,BrandA,Cardiovascular,North,N-102,REP_N-102,7225,394495.95,30.47
2023-10-01,2023,10,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,6824,380480.12,24.7
2023-11-01,2023,11,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,7072,378031.53,21.68
2023-12-01,2023,12,Q4,BrandA,Cardiovascular,North,N-102,REP_N-102,6274,331948.13,10.33
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,5370,397358.35,28.56
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,5182,379455.61,23.81
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,5967,429943.66,11.91
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,6329,459919.72,9.69
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,6757,496920.39,23.42
2021-06-01,2021,6,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,6866,488352.6,8.64
2021-07-01,2021,7,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,5910,421923.15,22.06
2021-08-01,2021,8,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,5959,414908.16,30.57
2021-09-01,2021,9,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,6307,447291.47,21.81
2021-10-01,2021,10,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,6099,453918.6,17.32
2021-11-01,2021,11,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,5958,426296.26,23.44
2021-12-01,2021,12,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,7085,507100.76,19.0
2022-01-01,2022,1,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,6066,439721.56,21.09
2022-02-01,2022,2,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,6509,453736.69,30.6
2022-03-01,2022,3,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,6759,496068.06,17.27
2022-04-01,2022,4,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,6959,513965.2,31.07
2022-05-01,2022,5,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,6804,493802.36,29.73
2022-06-01,2022,6,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,7375,548779.28,12.7
2022-07-01,2022,7,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,6707,470296.69,9.66
2022-08-01,2022,8,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,6791,507205.38,10.42
2022-09-01,2022,9,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,6475,459589.18,8.44
2022-10-01,2022,10,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,6479,454747.14,10.27
2022-11-01,2022,11,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,7167,513800.52,24.39
2022-12-01,2022,12,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,5561,415565.93,9.71
2023-01-01,2023,1,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,6641,478176.88,15.66
2023-02-01,2023,2,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,5983,422927.69,28.28
2023-03-01,2023,3,Q1,BrandA,Cardiovascular,North,N-103,REP_N-103,6749,473551.79,8.56
2023-04-01,2023,4,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,7746,556784.95,27.55
2023-05-01,2023,5,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,7554,522417.6,14.76
2023-06-01,2023,6,Q2,BrandA,Cardiovascular,North,N-103,REP_N-103,7155,501985.16,10.84
2023-07-01,2023,7,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,7296,541762.68,24.72
2023-08-01,2023,8,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,7767,574277.19,23.09
2023-09-01,2023,9,Q3,BrandA,Cardiovascular,North,N-103,REP_N-103,6905,496101.88,29.06
2023-10-01,2023,10,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,7067,504307.5,25.64
2023-11-01,2023,11,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,6825,492192.01,27.28
2023-12-01,2023,12,Q4,BrandA,Cardiovascular,North,N-103,REP_N-103,6506,490645.85,14.77
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,4326,368929.68,14.66
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,4169,360587.48,12.51
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,4081,341169.99,19.13
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,4441,371576.46,16.48
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,4766,404423.42,22.01
2021-06-01,2021,6,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,5406,463431.93,9.87
2021-07-01,2021,7,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,5512,477495.42,31.39
2021-08-01,2021,8,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,4811,426415.09,31.67
2021-09-01,2021,9,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,4670,408950.84,24.76
2021-10-01,2021,10,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,4703,403600.23,20.87
2021-11-01,2021,11,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,4526,389508.74,15.43
2021-12-01,2021,12,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,4755,401164.08,27.53
2022-01-01,2022,1,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,4446,382627.77,24.43
2022-02-01,2022,2,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,5040,431403.7,11.9
2022-03-01,2022,3,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,4932,427351.29,29.86
2022-04-01,2022,4,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,5510,466524.14,27.74
2022-05-01,2022,5,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,5339,464424.9,30.8
2022-06-01,2022,6,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,5317,471788.92,25.42
2022-07-01,2022,7,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,6136,527117.58,22.72
2022-08-01,2022,8,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,5735,497710.22,18.04
2022-09-01,2022,9,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,4658,406556.46,30.39
2022-10-01,2022,10,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,4910,419324.59,28.79
2022-11-01,2022,11,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,5281,456694.85,9.09
2022-12-01,2022,12,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,4549,391735.7,8.63
2023-01-01,2023,1,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,5223,450542.18,17.04
2023-02-01,2023,2,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,5391,456951.88,27.45
2023-03-01,2023,3,Q1,BrandA,Cardiovascular,South,S-201,REP_S-201,5207,448506.02,31.69
2023-04-01,2023,4,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,5687,494487.42,11.61
2023-05-01,2023,5,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,5151,456335.69,22.26
2023-06-01,2023,6,Q2,BrandA,Cardiovascular,South,S-201,REP_S-201,6623,581133.37,17.14
2023-07-01,2023,7,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,5855,525781.82,31.28
2023-08-01,2023,8,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,6122,518972.58,28.21
2023-09-01,2023,9,Q3,BrandA,Cardiovascular,South,S-201,REP_S-201,5860,513306.8,28.12
2023-10-01,2023,10,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,5905,510243.33,19.25
2023-11-01,2023,11,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,5188,466212.03,17.96
2023-12-01,2023,12,Q4,BrandA,Cardiovascular,South,S-201,REP_S-201,5364,454337.38,14.56
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,4189,369018.42,16.85
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,4366,390851.92,19.1
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,4448,389743.91,25.94
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,4971,423451.61,8.88
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,4647,409434.44,14.06
2021-06-01,2021,6,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,5011,445120.26,25.12
2021-07-01,2021,7,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,5079,457601.4,29.48
2021-08-01,2021,8,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,5094,435935.73,20.28
2021-09-01,2021,9,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,4992,438804.64,20.77
2021-10-01,2021,10,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,4318,379921.27,10.57
2021-11-01,2021,11,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,4106,353844.32,18.74
2021-12-01,2021,12,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,4849,431452.59,20.78
2022-01-01,2022,1,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,4681,418646.73,13.82
2022-02-01,2022,2,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,4555,399044.78,14.46
2022-03-01,2022,3,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,5469,501726.09,17.05
2022-04-01,2022,4,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,5277,462029.62,8.48
2022-05-01,2022,5,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,5811,507480.25,15.73
2022-06-01,2022,6,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,5543,483792.37,13.07
2022-07-01,2022,7,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,6185,536121.86,15.86
2022-08-01,2022,8,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,5959,519225.42,10.87
2022-09-01,2022,9,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,5142,440107.89,29.37
2022-10-01,2022,10,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,5339,468660.81,22.25
2022-11-01,2022,11,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,5116,451330.84,24.3
2022-12-01,2022,12,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,5304,446040.18,26.94
2023-01-01,2023,1,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,4703,413574.83,19.96
2023-02-01,2023,2,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,5397,475974.6,10.09
2023-03-01,2023,3,Q1,BrandA,Cardiovascular,South,S-202,REP_S-202,5781,514653.98,20.89
2023-04-01,2023,4,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,5090,459327.66,22.08
2023-05-01,2023,5,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,5471,490303.26,25.89
2023-06-01,2023,6,Q2,BrandA,Cardiovascular,South,S-202,REP_S-202,5254,457228.71,18.36
2023-07-01,2023,7,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,5870,509635.51,11.06
2023-08-01,2023,8,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,6092,543037.73,14.81
2023-09-01,2023,9,Q3,BrandA,Cardiovascular,South,S-202,REP_S-202,6161,536953.82,16.71
2023-10-01,2023,10,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,5484,471371.23,23.5
2023-11-01,2023,11,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,5848,539783.77,21.7
2023-12-01,2023,12,Q4,BrandA,Cardiovascular,South,S-202,REP_S-202,4860,425593.0,16.55
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,4195,196209.44,13.57
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,4387,207176.72,29.59
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,4472,217111.08,17.21
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,4723,222179.73,21.05
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,4829,233658.93,29.76
2021-06-01,2021,6,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,4864,226253.31,22.98
2021-07-01,2021,7,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,4927,236966.32,10.81
2021-08-01,2021,8,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,4819,235954.12,30.56
2021-09-01,2021,9,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,4549,205790.43,23.06
2021-10-01,2021,10,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,4479,209763.54,16.04
2021-11-01,2021,11,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,3844,185051.88,11.34
2021-12-01,2021,12,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,4689,222248.82,27.06
2022-01-01,2022,1,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,4697,225195.05,22.88
2022-02-01,2022,2,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,4744,223045.28,20.8
2022-03-01,2022,3,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,5075,241943.49,29.45
2022-04-01,2022,4,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,5327,252728.86,26.93
2022-05-01,2022,5,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,5191,252815.71,11.64
2022-06-01,2022,6,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,5344,255621.37,15.48
2022-07-01,2022,7,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,5679,272095.17,13.96
2022-08-01,2022,8,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,5458,257612.92,25.85
2022-09-01,2022,9,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,5859,276117.45,8.8
2022-10-01,2022,10,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,5536,261185.48,21.68
2022-11-01,2022,11,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,5201,249474.42,26.3
2022-12-01,2022,12,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,4677,220709.85,29.04
2023-01-01,2023,1,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,4823,230862.5,16.21
2023-02-01,2023,2,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,4872,241488.44,27.71
2023-03-01,2023,3,Q1,BrandA,Cardiovascular,South,S-203,REP_S-203,5527,267619.19,10.66
2023-04-01,2023,4,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,4754,224773.21,28.31
2023-05-01,2023,5,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,5727,279102.6,11.06
2023-06-01,2023,6,Q2,BrandA,Cardiovascular,South,S-203,REP_S-203,5877,277410.63,17.53
2023-07-01,2023,7,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,5420,247429.73,27.14
2023-08-01,2023,8,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,6120,285385.74,11.6
2023-09-01,2023,9,Q3,BrandA,Cardiovascular,South,S-203,REP_S-203,5265,241192.35,13.5
2023-10-01,2023,10,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,5548,262179.61,25.33
2023-11-01,2023,11,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,6217,295983.34,25.28
2023-12-01,2023,12,Q4,BrandA,Cardiovascular,South,S-203,REP_S-203,4786,235408.26,23.39
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,5007,397627.31,17.81
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,5652,460344.71,8.61
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,5086,407043.7,11.75
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,5173,422277.24,25.18
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,5175,423647.07,23.81
2021-06-01,2021,6,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,6426,512248.34,8.65
2021-07-01,2021,7,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,6114,508637.92,13.33
2021-08-01,2021,8,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,5746,468974.87,13.55
2021-09-01,2021,9,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,5679,475016.08,24.13
2021-10-01,2021,10,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,5038,397266.59,8.47
2021-11-01,2021,11,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,6051,485347.13,10.5
2021-12-01,2021,12,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,5295,438008.27,27.2
2022-01-01,2022,1,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,5390,434253.53,12.29
2022-02-01,2022,2,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,5806,473802.32,23.67
2022-03-01,2022,3,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,6006,491748.5,13.72
2022-04-01,2022,4,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,6197,508985.68,10.39
2022-05-01,2022,5,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,6031,487097.01,13.84
2022-06-01,2022,6,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,6623,543877.58,25.33
2022-07-01,2022,7,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,7147,576002.79,28.54
2022-08-01,2022,8,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,6797,564009.61,27.93
2022-09-01,2022,9,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,6672,545015.7,17.53
2022-10-01,2022,10,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,5706,468627.7,24.03
2022-11-01,2022,11,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,5405,465280.35,12.92
2022-12-01,2022,12,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,5675,454352.86,15.04
2023-01-01,2023,1,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,5843,491681.83,29.51
2023-02-01,2023,2,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,6445,499618.79,8.31
2023-03-01,2023,3,Q1,BrandA,Cardiovascular,East,E-301,REP_E-301,5697,447053.38,10.05
2023-04-01,2023,4,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,7248,578705.78,12.99
2023-05-01,2023,5,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,6806,544118.32,8.64
2023-06-01,2023,6,Q2,BrandA,Cardiovascular,East,E-301,REP_E-301,6806,559511.9,12.35
2023-07-01,2023,7,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,6538,538402.2,21.99
2023-08-01,2023,8,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,6137,499906.47,18.11
2023-09-01,2023,9,Q3,BrandA,Cardiovascular,East,E-301,REP_E-301,6919,564795.46,29.42
2023-10-01,2023,10,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,6398,529365.9,27.62
2023-11-01,2023,11,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,5734,477295.11,16.2
2023-12-01,2023,12,Q4,BrandA,Cardiovascular,East,E-301,REP_E-301,5701,454385.97,14.23
2021-01-01,2021,1,Q1,BrandA,Cardiovascular,East,E-302,REP_E-302,5272,333582.95,24.61
2021-02-01,2021,2,Q1,BrandA,Cardiovascular,East,E-302,REP_E-302,4545,285071.76,28.38
2021-03-01,2021,3,Q1,BrandA,Cardiovascular,East,E-302,REP_E-302,5576,352439.95,13.99
2021-04-01,2021,4,Q2,BrandA,Cardiovascular,East,E-302,REP_E-302,5117,336817.5,19.75
2021-05-01,2021,5,Q2,BrandA,Cardiovascular,East,E-302,REP_E-302,6226,393736.75,13.31
